origin destination reason MODO HMV RED duration distance strata age gender FEV ID 
362 6 1 4 6.75 AM 90 6.4112 s_1 50 1 30.46298507 1 
6 362 6 2 19.25 PM 30 6.4112 s_1 50 1 32.75589793 1 
362 36 1 4 8.5 AM 60 4.478 s_1 40 2 32.75589793 2 
36 362 6 2 18.75 PM 30 4.478 s_1 40 2 32.75589793 2 
362 253 2 1 5.915 AM 10.2 0.8034 s_1 18 2 32.75589793 3 
253 362 6 1 12.333 MD 10 0.8034 s_1 18 2 32.75589793 3 
362 6 1 4 8.75 AM 30 6.4112 s_1 16 2 32.75589793 4 
6 362 6 4 18.25 PM 30 6.4112 s_1 16 2 31.11810303 4 
364 12 1 2 8.25 AM 30 5.1707 s_2 42 1 71.02093945 5 
12 364 6 2 20.75 PM 30 5.1707 s_2 42 1 71.02093945 5 
364 339 1 2 13.083 MD 70 28.1706 s_2 20 2 71.02093945 6 
339 364 6 2 22.5 MN 60 28.1706 s_2 20 2 71.02093945 6 
364 353 2 1 11.25 MD 30 0.5703 s_2 18 2 71.02093945 7 
354 364 6 1 16.125 PM 15 0.4056 s_2 18 2 71.02093945 7 
216 312 1 4 19.5 PM 60 15.5356 s_2 30 1 41.84010417 8 
312 216 6 4 6.75 AM 90 15.5356 s_2 30 1 38.07449479 8 
123 334 1 3 5.833 AM 40 7.8433 s_5 64 1 81.58000575 9 
334 123 6 3 18.333 PM 40 7.8433 s_5 64 1 89.73800632 9 
216 216 2 1 11.083 MD 10 0 s_2 7 2 41.84010417 10 
216 216 6 1 16.915 PM 10.2 0 s_2 7 2 41.84010417 10 
216 216 2 1 11.083 MD 10 0 s_2 6 1 41.84010417 11 
216 216 6 1 16.915 PM 10.2 0 s_2 6 1 41.84010417 11 
123 101 1 3 7.625 AM 15 2.4928 s_5 45 2 81.58000575 12 
101 123 6 3 12.375 MD 15 2.4928 s_5 45 2 81.58000575 12 
123 101 1 3 13.375 MD 15 2.4928 s_5 45 2 81.58000575 12 
101 123 6 3 16.875 PM 15 2.4928 s_5 45 2 81.58000575 12 
123 124 1 3 14.042 MD 5 0.4575 s_5 42 2 81.58000575 13 
124 123 6 3 17.083 PM 10 0.4575 s_5 42 2 114.212008 13 
123 101 5 5 14.083 MD 10 2.4928 s_5 12 1 81.58000575 14 
101 123 6 5 15.083 MD 10 2.4928 s_5 12 1 81.58000575 14 
130 6 3 2 9.25 AM 30 2.5363 s_5 83 1 81.58000575 15 
6 130 6 2 10.75 MD 30 2.5363 s_5 83 1 81.58000575 15 
130 131 3 5 12.167 MD 20 0.3929 s_5 83 1 81.58000575 15 
131 130 6 5 13.667 MD 20 0.3929 s_5 83 1 81.58000575 15 
130 6 3 2 9.25 AM 30 2.5363 s_5 64 2 81.58000575 16 
6 130 6 2 10.75 MD 30 2.5363 s_5 64 2 81.58000575 16 
130 131 3 5 12.167 MD 20 0.3929 s_5 64 2 81.58000575 16 
131 130 6 5 13.667 MD 20 0.3929 s_5 64 2 81.58000575 16 
130 183 1 3 7.25 AM 30 4.0088 s_5 39 2 81.58000575 17 
183 130 6 3 17.75 PM 30 4.0088 s_5 39 2 114.212008 17 
130 76 1 3 10.25 MD 30 5.1252 s_5 30 1 81.58000575 18 
76 130 6 3 18.25 PM 30 5.1252 s_5 30 1 89.73800632 18 
130 10 1 3 8.75 AM 30 3.3953 s_5 53 2 81.58000575 19 
10 130 6 3 12.167 MD 20 3.3953 s_5 53 2 81.58000575 19 
130 10 1 3 14.167 MD 20 3.3953 s_5 53 2 81.58000575 19 
10 130 6 3 18.167 PM 20 3.3953 s_5 53 2 89.73800632 19 
130 9 4 5 9.75 AM 30 3.5771 s_5 82 2 81.58000575 20 
9 130 6 5 11 MD 30 3.5771 s_5 82 2 81.58000575 20 
130 60 1 3 8.08 AM 10 3.4618 s_5 48 1 81.58 21 
60 130 6 3 17.83 PM 20 3.4618 s_5 48 1 89.74 21 
130 128 1 5 8.42 AM 10 1.1768 s_5 37 2 81.58 22 
128 130 6 5 16.58 PM 10 1.1768 s_5 37 2 81.58 22 
130 69 2 3 6.50 AM 60 5.7826 s_5 10 1 81.58 23 
69 130 6 3 16.00 PM 60 5.7826 s_5 10 1 81.58 23 
130 69 2 3 6.50 AM 60 5.7826 s_5 7 1 81.58 24 
69 130 6 3 16.00 PM 60 5.7826 s_5 7 1 81.58 24 
130 69 2 3 6.50 AM 60 5.7826 s_5 6 1 81.58 25 
69 130 6 3 16.00 PM 60 5.7826 s_5 6 1 81.58 25 
123 24 7 3 8.083 AM 10 2.404 s_5 68 2 81.58000575 26 
24 123 6 3 9.415 AM 10.2 2.404 s_5 68 2 81.58000575 26 
123 81 1 3 7.335 AM 19.8 4.9771 s_5 29 1 73.42200517 27 
81 123 6 3 12.583 MD 10 4.9771 s_5 29 1 81.58000575 27 
123 81 1 3 13.835 MD 19.8 4.9771 s_5 29 1 81.58000575 27 
81 123 6 3 18.25 PM 30 4.9771 s_5 29 1 89.73800632 27 
216 15 1 2 20.17 PM 20 4.836 s_2 45 1 41.84 28 
15 216 6 2 9.17 AM 20 4.836 s_2 45 1 41.84 28 
216 262 7 1 6.63 AM 15 0.6986 s_2 52 2 41.84 29 
262 262 1 1 7.13 AM 15 0 s_2 52 2 41.84 29 
262 262 7 1 11.88 MD 15 0 s_2 52 2 41.84 29 
262 216 6 1 12.75 MD 30 0.6986 s_2 52 2 41.84 29 
216 215 2 1 6.63 AM 15 0.5328 s_2 12 1 41.84 30 
215 216 6 1 13.00 MD 60 0.5328 s_2 12 1 41.84 30 
216 262 2 1 6.63 AM 15 0.6986 s_2 9 2 41.84 31 
262 216 6 1 12.75 MD 30 0.6986 s_2 9 2 41.84 31 
216 215 2 1 11.63 MD 15 0.5328 s_2 8 2 41.84 32 
215 216 6 1 5.75 AM 30 0.5328 s_2 8 2 41.84 32 
130 27 7 3 6.88 AM 15 2.6646 s_5 59 1 73.42 33 
27 130 6 3 7.13 AM 15 2.6646 s_5 59 1 97.90 33 
130 122 7 3 10.17 MD 20 1.3078 s_5 59 1 81.58 33 
122 130 6 3 10.83 MD 20 1.3078 s_5 59 1 81.58 33 
130 122 7 3 10.17 MD 20 1.3078 s_5 64 2 81.58 34 
122 130 6 3 10.83 MD 20 1.3078 s_5 64 2 81.58 34 
130 76 3 3 14.25 MD 30 5.1252 s_5 64 2 81.58 34 
76 130 6 3 17.75 PM 30 5.1252 s_5 64 2 89.74 34 
130 27 1 3 6.88 AM 15 2.6646 s_5 24 2 73.42 35 
27 306 1 4 7.17 AM 20 7.0014 s_5 24 2 97.90 35 
306 130 6 3 18.25 PM 30 7.7435 s_5 24 2 89.74 35 
130 142 1 3 7.25 AM 30 2.6201 s_5 50 1 81.58000575 36 
142 130 6 3 15.25 MD 30 2.6201 s_5 50 1 81.58000575 36 
130 157 7 3 6.625 AM 15 1.5441 s_5 48 2 81.58000575 37 
157 142 7 3 7.125 AM 45 3.5648 s_5 48 2 81.58000575 37 
142 164 7 3 7.75 AM 30 2.2097 s_5 48 2 81.58000575 37 
164 130 7 3 8.25 AM 30 1.9102 s_5 48 2 81.58000575 37 
130 231 2 2 5.75 AM 30 3.8555 s_5 19 1 81.58000575 38 
231 130 6 2 14.25 MD 30 3.8555 s_5 19 1 81.58000575 38 
130 157 2 3 6.625 AM 15 1.5441 s_5 16 2 81.58000575 39 
157 130 6 2 3.25 MN 30 1.5441 s_5 16 2 81.58000575 39 
130 164 2 3 7.75 AM 30 1.9102 s_5 13 1 81.58000575 40 
164 130 6 3 4.25 AM 30 1.9102 s_5 13 1 81.58000575 40 
130 129 5 1 9.042 AM 5 0.6096 s_5 80 1 81.58000575 41 
129 10 5 2 9.502 AM 39.8 2.7857 s_5 80 1 81.58000575 41 
10 129 6 2 14.333 MD 40 2.7857 s_5 80 1 81.58000575 41 
129 130 6 1 14.71 MD 4.8 0.6096 s_5 80 1 81.58000575 41 
130 129 1 1 9.042 AM 5 0.6096 s_5 60 1 81.58000575 42 
129 10 1 2 9.418 AM 29.8 2.7857 s_5 60 1 81.58000575 42 
10 129 6 2 17.25 PM 30 2.7857 s_5 60 1 73.42200517 42 
129 130 6 1 17.542 PM 5 0.6096 s_5 60 1 81.58000575 42 
130 24 1 5 7.75 AM 30 2.4975 s_5 40 2 97.89600689 43 
24 130 6 5 18.25 PM 30 2.4975 s_5 40 2 106.0540075 43 
123 328 1 4 6.75 AM 30 6.8028 s_5 54 1 97.90 44 
328 123 6 4 18.38 PM 45 6.8028 s_5 54 1 88.60 44 
123 123 1 1 8.58 AM 10 0 s_5 51 2 81.58 45 
123 123 6 1 11.58 MD 10 0 s_5 51 2 81.58 45 
123 123 1 1 13.58 MD 10 0 s_5 51 2 81.58 45 
123 123 6 1 17.58 PM 10 0 s_5 51 2 81.58 45 
123 116 2 3 9.38 AM 5 1.8452 s_5 20 2 81.58 46 
116 123 6 3 9.50 AM 10 1.8452 s_5 20 2 81.58 46 
123 179 2 3 11.83 MD 20 3.1795 s_5 20 2 81.58 46 
179 123 6 3 16.04 PM 25 3.1795 s_5 20 2 81.58 46 
123 116 2 3 9.38 AM 5 1.8452 s_5 18 2 81.58 47 
116 123 6 2 12.67 MD 40 1.8452 s_5 18 2 81.58 47 
216 18 3 2 6.333 AM 40 5.7911 s_2 71 1 41.84010417 48 
18 216 6 2 7.792 AM 35 5.7911 s_2 71 1 41.84010417 48 
216 359 1 1 8.375 AM 15 0.2507 s_2 71 1 41.84010417 48 
359 216 6 1 16.667 PM 20 0.2507 s_2 71 1 41.84010417 48 
216 359 5 1 10.25 MD 30 0.2507 s_2 67 2 41.84010417 49 
359 216 6 1 13.75 MD 30 0.2507 s_2 67 2 41.84010417 49 
123 131 7 3 10.58 MD 10 0.8731 s_5 77 2 81.58 50 
131 76 7 3 11.88 MD 15 5.5159 s_5 77 2 81.58 50 
76 123 6 3 14.83 MD 20 4.6658 s_5 77 2 81.58 50 
123 131 7 3 10.58 MD 10 0.8731 s_5 68 1 81.58 51 
131 76 7 3 11.88 MD 15 5.5159 s_5 68 1 81.58 51 
76 123 6 3 14.83 MD 20 4.6658 s_5 68 1 81.58 51 
130 337 1 3 8.25 AM 30 12.1451 s_5 45 1 81.58 52 
337 130 6 3 12.25 MD 30 12.1451 s_5 45 1 81.58 52 
130 337 1 3 14.25 MD 30 12.1451 s_5 45 1 81.58 52 
337 130 6 3 20.25 PM 30 12.1451 s_5 45 1 81.58 52 
130 122 1 3 7.17 AM 20 1.3078 s_5 26 1 81.58 53 
122 130 6 3 19.83 PM 20 1.3078 s_5 26 1 81.58 53 
130 116 2 3 7.88 AM 15 2.1307 s_5 19 2 81.58 54 
116 130 6 3 14.13 MD 15 2.1307 s_5 19 2 81.58 54 
123 60 4 3 8.25 AM 30 3.1807 s_5 70 2 81.58000575 55 
60 401 3 3 9.625 AM 15 3.0215 s_5 70 2 81.58000575 55 
393 106 3 3 10.375 MD 15 1.6338 s_5 70 2 81.58000575 55 
106 123 6 3 11.125 MD 15 2.8397 s_5 70 2 81.58000575 55 
123 58 1 3 7.333 AM 40 4.3548 s_5 55 2 73.42200517 56 
58 123 6 3 15.333 MD 40 4.3548 s_5 55 2 81.58000575 56 
130 130 1 1 6.04 AM 5 0 s_5 39 2 81.58 57 
130 130 6 1 12.04 MD 5 0 s_5 39 2 81.58 57 
130 130 1 1 13.54 MD 5 0 s_5 39 2 81.58 57 
130 130 1 1 21.04 PM 5 0 s_5 39 2 81.58 57 
130 123 2 3 6.38 AM 15 0.5137 s_5 18 2 81.58 58 
123 130 6 3 14.67 MD 20 0.5137 s_5 18 2 81.58 58 
130 123 5 1 17.58 PM 10 0.5137 s_5 18 2 81.58 58 
123 130 6 1 20.58 PM 10 0.5137 s_5 18 2 81.58 58 
130 123 2 3 6.38 AM 15 0.5137 s_5 16 2 81.58 59 
123 130 6 3 14.67 MD 20 0.5137 s_5 16 2 81.58 59 
130 123 2 3 6.38 AM 15 0.5137 s_5 12 2 81.58 60 
123 130 6 3 14.67 MD 20 0.5137 s_5 12 2 81.58 60 
130 130 1 1 6.04 AM 4.8 0 s_5 36 1 81.58 61 
130 130 6 1 12.04 MD 5 0 s_5 36 1 81.58 61 
130 130 1 1 13.54 MD 5 0 s_5 36 1 81.58 61 
130 130 1 1 21.04 PM 4.8 0 s_5 36 1 81.58 61 
130 329 1 3 8.167 AM 20 6.6882 s_5 46 1 81.58000575 62 
329 130 6 3 12.167 MD 20 6.6882 s_5 46 1 81.58000575 62 
130 329 1 3 13.835 MD 19.8 6.6882 s_5 46 1 81.58000575 62 
329 130 6 3 17.667 PM 20 6.6882 s_5 46 1 114.212008 62 
216 241 4 2 14.625 MD 45 3.3959 s_2 63 2 41.84010417 63 
241 216 6 2 16.625 PM 45 3.3959 s_2 63 2 41.84010417 63 
123 304 1 3 4.5 AM 60 22.7955 s_5 52 1 81.58000575 64 
304 123 6 3 16.585 PM 49.8 22.7955 s_5 52 1 81.58000575 64 
123 62 1 3 6.417 AM 20 2.9234 s_5 41 2 73.42200517 65 
62 123 6 3 18.75 PM 30 2.9234 s_5 41 2 89.73800632 65 
130 131 3 5 10.167 MD 20 0.3929 s_5 75 1 81.58000575 66 
131 130 6 5 12.167 MD 20 0.3929 s_5 75 1 81.58000575 66 
130 131 3 5 10.167 MD 20 0.3929 s_5 74 2 81.58000575 67 
131 130 6 5 12.167 MD 20 0.3929 s_5 74 2 81.58000575 67 
130 399 1 5 7.75 AM 30 1.3591 s_5 40 2 130.5280092 68 
399 130 6 5 19.25 PM 30 1.3591 s_5 40 2 81.58000575 68 
130 98 1 3 6.75 AM 30 4.2609 s_5 36 1 81.58000575 69 
98 130 6 3 18.25 PM 30 4.2609 s_5 36 1 114.212008 69 
130 77 1 3 6.75 AM 30 4.4002 s_5 36 1 73.42200517 69 
77 130 6 3 18.25 PM 30 4.4002 s_5 36 1 89.73800632 69 
123 317 1 3 8 AM 60 9.4293 s_5 26 2 81.58000575 70 
317 123 6 3 11.5 MD 60 9.4293 s_5 26 2 81.58000575 70 
123 317 1 3 13.833 MD 40 9.4293 s_5 26 2 81.58000575 70 
317 123 6 3 17.333 PM 40 9.4293 s_5 26 2 89.73800632 70 
130 123 7 1 6.375 AM 15 0.5137 s_5 57 2 81.58000575 71 
123 130 6 1 7.625 AM 15 0.5137 s_5 57 2 81.58000575 71 
130 308 2 3 7 AM 30 7.6973 s_5 16 1 81.58000575 72 
308 130 6 5 3.333 MN 40 7.6973 s_5 16 1 81.58000575 72 
130 82 7 3 8.125 AM 15 5.7221 s_5 54 1 81.58000575 73 
82 130 6 3 8.835 AM 19.8 5.7221 s_5 54 1 81.58000575 73 
130 276 3 3 9.75 AM 30 11.673 s_5 54 1 81.58000575 73 
276 130 6 3 10.75 MD 30 11.673 s_5 54 1 81.58000575 73 
130 36 7 3 14.167 MD 20 5.5087 s_5 54 1 81.58000575 73 
36 130 6 3 19.75 PM 30 5.5087 s_5 54 1 81.58000575 73 
130 63 1 3 7.375 AM 15 3.7027 s_5 43 2 73.42200517 74 
63 130 6 3 12.167 MD 20 3.7027 s_5 43 2 81.58000575 74 
130 63 1 3 14.293 MD 14.8 3.7027 s_5 43 2 81.58000575 74 
63 130 6 3 18.25 PM 30 3.7027 s_5 43 2 89.73800632 74 
130 62 7 3 9.667 AM 20 3.3021 s_5 39 2 81.58000575 75 
62 130 6 3 12.25 MD 30 3.3021 s_5 39 2 81.58000575 75 
130 62 7 3 15.25 MD 30 3.3021 s_5 39 2 81.58000575 75 
62 130 6 3 16.25 PM 30 3.3021 s_5 39 2 81.58000575 75 
